area_name,measure_point_id,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pce_coating_percentage,total_pipe_lenght
Almelo Tusveld,306,68.67,0.0,0.0,68.67,0.0,0.0,0.0,0.0,68.67,0.0,0.0,0.0,68.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.67
Almelo Tusveld,215,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.52
Almelo Tusveld,274,0.0,137.91,0.0,0.0,0.0,0.0,137.91,0.0,137.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.91,0.0,0.0,0.0,137.91
Almelo Tusveld,197,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1.0,0.73
Almelo Tusveld,252,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.52
Almelo Tusveld,310,0.0,471.92,0.0,0.0,0.0,0.0,365.52,106.4,471.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.52,0.0,106.4,1.0,471.92
Almelo Tusveld,189,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.81,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,1.0,0.81
Almelo Tusveld,295,0.0,30.75,0.0,24.58,0.0,0.0,0.3,5.87,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.75,1.0,30.74
Almelo Tusveld,262,0.0,175.25,0.0,175.25,0.0,0.0,0.0,0.0,175.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.25,1.0,175.25
Almelo Tusveld,207,0.0,20.33,0.0,0.0,0.0,0.0,0.0,20.33,20.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33,1.0,20.33
Almelo Tusveld,258,0.0,0.46,0.0,0.46,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,1.0,0.46
Almelo Tusveld,305,0.0,0.47,0.0,0.47,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,1.0,0.47
