area_id,measure_point_id,sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pipe_coating,pipe_length,point_label,gradient_label,binned_points,binned_gradients
Deurningen,466,-1478.64693932,-1102.29585053,-175.10435942,612.511931734,794.091310882,368.306247574,-262.630722913,-577.330913851,-285.120754533,440.13159989,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,-75.8373235327,995.307621715,4,12
Deurningen,466,-1102.29585053,-175.10435942,612.511931734,794.091310882,368.306247574,-262.630722913,-577.330913851,-285.120754533,440.13159989,995.307621715,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,23.6934386388,724.074056555,6,10
Deurningen,466,-175.10435942,612.511931734,794.091310882,368.306247574,-262.630722913,-577.330913851,-285.120754533,440.13159989,995.307621715,724.074056555,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,96.1008442943,-429.02605584,7,6
Deurningen,466,612.511931734,794.091310882,368.306247574,-262.630722913,-577.330913851,-285.120754533,440.13159989,995.307621715,724.074056555,-429.02605584,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,53.1982387103,-1236.31942119,7,2
Deurningen,468,-165.963995192,-230.185376982,-80.2646017577,-177.755346062,-371.207120714,-427.750775742,-263.535751595,29.1243413196,268.09978799,303.548536815,0.0,1.42,0.0,1.42,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.0,1.42,-109.10123917,114.099341883,3,8
Deurningen,468,-230.185376982,-80.2646017577,-177.755346062,-371.207120714,-427.750775742,-263.535751595,29.1243413196,268.09978799,303.548536815,114.099341883,0.0,1.42,0.0,1.42,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.0,1.42,-97.6913049814,-164.49890577,3,7
Deurningen,468,-80.2646017577,-177.755346062,-371.207120714,-427.750775742,-263.535751595,29.1243413196,268.09978799,303.548536815,114.099341883,-164.49890577,0.0,1.42,0.0,1.42,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.0,1.42,-114.141195558,-295.810170813,3,6
Deurningen,468,-177.755346062,-371.207120714,-427.750775742,-263.535751595,29.1243413196,268.09978799,303.548536815,114.099341883,-164.49890577,-295.810170813,0.0,1.42,0.0,1.42,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.0,1.42,-143.72221264,-73.7089013818,3,7
Deurningen,468,-371.207120714,-427.750775742,-263.535751595,29.1243413196,268.09978799,303.548536815,114.099341883,-164.49890577,-295.810170813,-73.7089013818,0.0,1.42,0.0,1.42,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.0,1.42,-151.093102778,514.643127805,2,10
Deurningen,468,-427.750775742,-263.535751595,29.1243413196,268.09978799,303.548536815,114.099341883,-164.49890577,-295.810170813,-73.7089013818,514.643127805,0.0,1.42,0.0,1.42,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.0,1.42,-99.6287899974,1172.49543697,3,12
